cut,x1,x2,y1,y2
Blended Burger,0.5,18,9,58
Ground Beef,38,70,12.5,37.5
Round,81.25,88,50.5,69.5
Chuck Roll,25.5,41.5,62.5,87.5
Bone-in Ribeye,41.6,62.5,63,87
Bone-in Strip,50,62.5,58,87.5
Top Round,81.25,88,69.5,79
Sirloin,74.5,79.5,46,88
Brisket,32,41,53,63
Should Clod,35,39,54,64
Shanks,79,88,28,45
Bottom Round,80,88,44,60
Chuck Eye,16,21,53,75
Boneless NY Strip,54,70,74,86
Boneless Ribeye,41,55,75,86
Top Blade,30,41,78,89
Chuck Underblade,23,31,52,78
Eye Round,84,92,53,76
Short Ribs,40,57,75,88
Tenderloin,70,78,73,76
Culotte,59,74,59,65
Tri-tip,76,78,50,53
Flap,74,77,54,58
Skirt,50,73,47,52
Flank,64,77,45,50
Cheek,14,17,73,75
Hanger,40,42,50,51
Oxtail,91,92,55,80
Teres Major,26,27,60,65
Tongue,13,15,63,65
